id,headline,author,published_date,source
1,Health News 1,Reporter 8,2024-04-27,Hindu
2,Sports News 2,Reporter 26,2024-01-24,NDTV
3,Economy News 3,Reporter 24,2024-01-28,Times
4,Education News 4,Reporter 30,2024-05-18,Reuters
5,Economy News 5,Reporter 25,2024-12-04,BBC
6,AI News 6,Reporter 21,2024-12-20,NDTV
7,Economy News 7,Reporter 3,2024-07-12,NDTV
8,Education News 8,Reporter 29,2024-02-26,Hindu
9,Sports News 9,Reporter 5,2024-06-02,BBC
10,AI News 10,Reporter 10,2024-02-26,Hindu
11,Health News 11,Reporter 23,2024-11-19,Reuters
12,Education News 12,Reporter 21,2024-01-14,Times
13,Education News 13,Reporter 30,2024-04-20,Times
14,Politics News 14,Reporter 13,2024-10-11,Hindu
15,Health News 15,Reporter 24,2024-03-22,NDTV
16,Sports News 16,Reporter 5,2024-10-14,Hindu
17,Economy News 17,Reporter 7,2024-07-22,NDTV
18,AI News 18,Reporter 22,2024-09-25,Times
19,AI News 19,Reporter 6,2024-01-17,Reuters
20,Education News 20,Reporter 29,2024-11-23,NDTV
21,Politics News 21,Reporter 5,2024-11-28,BBC
22,AI News 22,Reporter 14,2024-01-10,Hindu
23,Sports News 23,Reporter 30,2024-09-09,Reuters
24,Sports News 24,Reporter 26,2024-11-06,NDTV
25,Sports News 25,Reporter 23,2024-04-20,BBC
26,AI News 26,Reporter 6,2024-09-27,Hindu
27,Health News 27,Reporter 29,2024-07-13,Times
28,Economy News 28,Reporter 23,2024-02-07,BBC
29,Health News 29,Reporter 26,2024-06-02,BBC
30,Politics News 30,Reporter 17,2024-09-09,NDTV
31,Sports News 31,Reporter 22,2024-12-26,Reuters
32,Politics News 32,Reporter 10,2024-07-09,Reuters
33,Politics News 33,Reporter 2,2024-11-06,Times
34,AI News 34,Reporter 17,2024-12-28,NDTV
35,Politics News 35,Reporter 23,2024-10-06,BBC
36,Health News 36,Reporter 29,2024-04-22,Reuters
37,Education News 37,Reporter 23,2024-05-14,Times
38,AI News 38,Reporter 19,2024-02-24,Reuters
39,Economy News 39,Reporter 5,2024-09-21,BBC
40,AI News 40,Reporter 2,2024-10-16,Hindu
41,Education News 41,Reporter 24,2024-12-11,Reuters
